codigo_pa;numero_pa;uf;municipio;longitude;latitude;altitude_(m);profundidade_superior;profundidade_inferior;simbolo_horizonte;codigo_horizonte;classe_solos_nivel_1
5304.0;Perfil 15;AM;Benjamin Constant;;;;150.0;210.0;2Hbo;13729.0;CAMBISSOLO
5304.0;Perfil 15;AM;Benjamin Constant;;;;128.0;150.0;Cg;13730.0;CAMBISSOLO
5304.0;Perfil 15;AM;Benjamin Constant;;;;90.0;128.0;BCg2;13731.0;CAMBISSOLO
5304.0;Perfil 15;AM;Benjamin Constant;;;;64.0;90.0;BCg1;13732.0;CAMBISSOLO
5304.0;Perfil 15;AM;Benjamin Constant;;;;18.0;44.0;Bi1;13733.0;CAMBISSOLO
5304.0;Perfil 15;AM;Benjamin Constant;;;;44.0;64.0;Bi2;13734.0;CAMBISSOLO
5304.0;Perfil 15;AM;Benjamin Constant;;;;5.0;18.0;A2;13735.0;CAMBISSOLO
5304.0;Perfil 15;AM;Benjamin Constant;;;;0.0;5.0;A1;13736.0;CAMBISSOLO
5306.0;Perfil 17;AM;Benjamin Constant;;;;64.0;160.0;Cg2;13744.0;CAMBISSOLO
5306.0;Perfil 17;AM;Benjamin Constant;;;;38.0;64.0;Cg1;13745.0;CAMBISSOLO
5306.0;Perfil 17;AM;Benjamin Constant;;;;32.0;43.0;CB;13746.0;CAMBISSOLO
5306.0;Perfil 17;AM;Benjamin Constant;;;;20.0;32.0;Bi;13747.0;CAMBISSOLO
5306.0;Perfil 17;AM;Benjamin Constant;;;;9.0;20.0;AB;13748.0;CAMBISSOLO
5306.0;Perfil 17;AM;Benjamin Constant;;;;0.0;9.0;A;13749.0;CAMBISSOLO
5309.0;Perfil 12;AM;Benjamin Constant;-69.01;-4.005833333333333;113.0;135.0;180.0;Cr2;13762.0;CAMBISSOLO
5309.0;Perfil 12;AM;Benjamin Constant;-69.01;-4.005833333333333;113.0;94.0;135.0;Cr1;13763.0;CAMBISSOLO
5309.0;Perfil 12;AM;Benjamin Constant;-69.01;-4.005833333333333;113.0;52.0;94.0;C2;13764.0;CAMBISSOLO
5309.0;Perfil 12;AM;Benjamin Constant;-69.01;-4.005833333333333;113.0;29.0;52.0;C1;13765.0;CAMBISSOLO
5309.0;Perfil 12;AM;Benjamin Constant;-69.01;-4.005833333333333;113.0;20.0;29.0;BC;13766.0;CAMBISSOLO
5309.0;Perfil 12;AM;Benjamin Constant;-69.01;-4.005833333333333;113.0;10.0;20.0;Bi;13767.0;CAMBISSOLO
5309.0;Perfil 12;AM;Benjamin Constant;-69.01;-4.005833333333333;113.0;6.0;10.0;AB;13768.0;CAMBISSOLO
5309.0;Perfil 12;AM;Benjamin Constant;-69.01;-4.005833333333333;113.0;0.0;6.0;Ap;13769.0;CAMBISSOLO
5770.0;Perfil no 1;AM;Alvarães;;;110.0;0.0;12.0;A;15793.0;ARGISSOLO
5770.0;Perfil no 1;AM;Alvarães;;;110.0;12.0;30.0;AB;15796.0;ARGISSOLO
5770.0;Perfil no 1;AM;Alvarães;;;110.0;30.0;80.0;BA;15837.0;ARGISSOLO
5770.0;Perfil no 1;AM;Alvarães;;;110.0;80.0;190.0;Bt;15838.0;ARGISSOLO
5780.0;Perfil no 2;AM;Alvarães;;;110.0;0.0;15.0;A;15839.0;ARGISSOLO
5780.0;Perfil no 2;AM;Alvarães;;;110.0;15.0;57.0;AB;15840.0;ARGISSOLO
5780.0;Perfil no 2;AM;Alvarães;;;110.0;57.0;80.0;BA;15841.0;ARGISSOLO
5780.0;Perfil no 2;AM;Alvarães;;;110.0;80.0;120.0;Bt;15842.0;ARGISSOLO
5780.0;Perfil no 2;AM;Alvarães;;;110.0;120.0;190.0;BC;15843.0;ARGISSOLO
5781.0;Perfil no 4;AM;Uarini;;;65.0;0.0;8.0;A;15846.0;ARGISSOLO
5781.0;Perfil no 4;AM;Uarini;;;65.0;8.0;19.0;AB;15847.0;ARGISSOLO
5781.0;Perfil no 4;AM;Uarini;;;65.0;19.0;52.0;BA;15850.0;ARGISSOLO
5781.0;Perfil no 4;AM;Uarini;;;65.0;52.0;84.0;Bt1;15853.0;ARGISSOLO
5781.0;Perfil no 4;AM;Uarini;;;65.0;84.0;160.0;Bt2;15855.0;ARGISSOLO
5781.0;Perfil no 4;AM;Uarini;;;65.0;160.0;200.0;BC;15858.0;ARGISSOLO
5785.0;Perfil no 7;AM;Juruá;;;70.0;0.0;9.0;A;15861.0;ARGISSOLO
5785.0;Perfil no 7;AM;Juruá;;;70.0;9.0;23.0;AB;15862.0;ARGISSOLO
5785.0;Perfil no 7;AM;Juruá;;;70.0;23.0;49.0;BA;15863.0;ARGISSOLO
5785.0;Perfil no 7;AM;Juruá;;;70.0;49.0;73.0;Bt1;15865.0;ARGISSOLO
5785.0;Perfil no 7;AM;Juruá;;;70.0;73.0;111.0;Bt2;15867.0;ARGISSOLO
5785.0;Perfil no 7;AM;Juruá;;;70.0;111.0;148.0;BC1;15868.0;ARGISSOLO
5785.0;Perfil no 7;AM;Juruá;;;70.0;148.0;200.0;BC2;15870.0;ARGISSOLO
5789.0;Perfil no 13;AM;Juruá;;;60.0;0.0;10.0;A;15874.0;ARGISSOLO
5789.0;Perfil no 13;AM;Juruá;;;60.0;10.0;29.0;AB;15876.0;ARGISSOLO
5789.0;Perfil no 13;AM;Juruá;;;60.0;29.0;53.0;BA;15879.0;ARGISSOLO
5789.0;Perfil no 13;AM;Juruá;;;60.0;53.0;75.0;Bt1;15880.0;ARGISSOLO
5789.0;Perfil no 13;AM;Juruá;;;60.0;75.0;104.0;Bt2;15881.0;ARGISSOLO
5789.0;Perfil no 13;AM;Juruá;;;60.0;104.0;154.0;Bt3;15883.0;ARGISSOLO
5789.0;Perfil no 13;AM;Juruá;;;60.0;154.0;200.0;BCf;15884.0;ARGISSOLO
5792.0;Perfil no 5;AM;Alvarães;;;75.0;0.0;11.0;A;15888.0;ARGISSOLO
5792.0;Perfil no 5;AM;Alvarães;;;75.0;11.0;40.0;AB;15892.0;ARGISSOLO
5792.0;Perfil no 5;AM;Alvarães;;;75.0;40.0;69.0;BA;15894.0;ARGISSOLO
5792.0;Perfil no 5;AM;Alvarães;;;75.0;69.0;112.0;Bw1;15897.0;ARGISSOLO
5792.0;Perfil no 5;AM;Alvarães;;;75.0;112.0;200.0;Bw2;15902.0;ARGISSOLO
